Timestep,Region,n2oem
2533,USA,1.61
USA,2534,1.61
2534,USA,1.61
USA,2535,1.61
2535,USA,1.61
USA,2536,1.61
2536,USA,1.61
USA,2537,1.61
2537,USA,1.61
USA,2538,1.61
2538,USA,1.61
USA,2539,1.61
2539,USA,1.61
USA,2540,1.61
2540,USA,1.61
USA,2541,1.61
2541,USA,1.61
USA,2542,1.61
2542,USA,1.61
USA,2543,1.61
2543,USA,1.61
USA,2544,1.61
2544,USA,1.61
USA,2545,1.61
2545,USA,1.61
USA,2546,1.61
2546,USA,1.61
USA,2547,1.61
2547,USA,1.61
USA,2548,1.61
2548,USA,1.61
USA,2549,1.61
2549,USA,1.61
USA,2550,1.61
2550,USA,1.61
USA,2551,1.61
2551,USA,1.61
USA,2552,1.61
2552,USA,1.61
USA,2553,1.61
2553,USA,1.61
USA,2554,1.61
2554,USA,1.61
USA,2555,1.61
2555,USA,1.61
USA,2556,1.61
2556,USA,1.61
USA,2557,1.61
2557,USA,1.61
USA,2558,1.61
2558,USA,1.61
USA,2559,1.61
2559,USA,1.61
USA,2560,1.61
2560,USA,1.61
USA,2561,1.61
2561,USA,1.61
USA,2562,1.61
2562,USA,1.61
USA,2563,1.61
2563,USA,1.61
USA,2564,1.61
2564,USA,1.61
USA,2565,1.61
2565,USA,1.61
USA,2566,1.61
2566,USA,1.61
USA,2567,1.61
2567,USA,1.61
USA,2568,1.61
2568,USA,1.61
USA,2569,1.61
2569,USA,1.61
USA,2570,1.61
2570,USA,1.61
USA,2571,1.61
2571,USA,1.61
USA,2572,1.61
2572,USA,1.61
USA,2573,1.61
2573,USA,1.61
USA,2574,1.61
2574,USA,1.61
USA,2575,1.61
2575,USA,1.61
USA,2576,1.61
2576,USA,1.61
USA,2577,1.61
2577,USA,1.61
USA,2578,1.61
2578,USA,1.61
USA,2579,1.61
2579,USA,1.61
USA,2580,1.61
2580,USA,1.61
USA,2581,1.61
2581,USA,1.61
USA,2582,1.61
2582,USA,1.61
USA,2583,1.61
2583,USA,1.61
USA,2584,1.61
2584,USA,1.61
USA,2585,1.61
2585,USA,1.61
USA,2586,1.61
2586,USA,1.61
USA,2587,1.61
2587,USA,1.61
USA,2588,1.61
2588,USA,1.61
USA,2589,1.61
2589,USA,1.61
USA,2590,1.61
2590,USA,1.61
USA,2591,1.61
2591,USA,1.61
USA,2592,1.61
2592,USA,1.61
USA,2593,1.61
2593,USA,1.61
USA,2594,1.61
2594,USA,1.61
USA,2595,1.61
2595,USA,1.61
USA,2596,1.61
2596,USA,1.61
USA,2597,1.61
2597,USA,1.61
USA,2598,1.61
2598,USA,1.61
USA,2599,1.61
2599,USA,1.61
USA,2600,1.61
2600,USA,1.61
USA,2601,1.61
2601,USA,1.61
USA,2602,1.61
2602,USA,1.61
USA,2603,1.61
2603,USA,1.61
USA,2604,1.61
2604,USA,1.61
USA,2605,1.61
2605,USA,1.61
USA,2606,1.61
2606,USA,1.61
USA,2607,1.61
2607,USA,1.61
USA,2608,1.61
2608,USA,1.61
USA,2609,1.61
2609,USA,1.61
USA,2610,1.61
2610,USA,1.61
USA,2611,1.61
2611,USA,1.61
USA,2612,1.61
2612,USA,1.61
USA,2613,1.61
2613,USA,1.61
USA,2614,1.61
2614,USA,1.61
USA,2615,1.61
2615,USA,1.61
USA,2616,1.61
2616,USA,1.61
USA,2617,1.61
2617,USA,1.61
USA,2618,1.61
2618,USA,1.61
USA,2619,1.61
2619,USA,1.61
USA,2620,1.61
2620,USA,1.61
USA,2621,1.61
2621,USA,1.61
USA,2622,1.61
2622,USA,1.61
USA,2623,1.61
2623,USA,1.61
USA,2624,1.61
2624,USA,1.61
USA,2625,1.61
2625,USA,1.61
USA,2626,1.61
2626,USA,1.61
USA,2627,1.61
2627,USA,1.61
USA,2628,1.61
2628,USA,1.61
USA,2629,1.61
2629,USA,1.61
USA,2630,1.61
2630,USA,1.61
USA,2631,1.61
2631,USA,1.61
USA,2632,1.61
2632,USA,1.61
USA,2633,1.61
2633,USA,1.61
USA,2634,1.61
2634,USA,1.61
USA,2635,1.61
2635,USA,1.61
USA,2636,1.61
2636,USA,1.61
USA,2637,1.61
2637,USA,1.61
USA,2638,1.61
2638,USA,1.61
USA,2639,1.61
2639,USA,1.61
USA,2640,1.61
2640,USA,1.61
USA,2641,1.61
2641,USA,1.61
USA,2642,1.61
2642,USA,1.61
USA,2643,1.61
2643,USA,1.61
USA,2644,1.61
2644,USA,1.61
USA,2645,1.61
2645,USA,1.61
