Timestep,Region,ch4em
USA,2600,113
2600,USA,113
USA,2601,113
2601,USA,113
USA,2602,113
2602,USA,113
USA,2603,113
2603,USA,113
USA,2604,113
2604,USA,113
USA,2605,113
2605,USA,113
USA,2606,113
2606,USA,113
USA,2607,113
2607,USA,113
USA,2608,113
2608,USA,113
USA,2609,113
2609,USA,113
USA,2610,113
2610,USA,113
USA,2611,113
2611,USA,113
USA,2612,113
2612,USA,113
USA,2613,113
2613,USA,113
USA,2614,113
2614,USA,113
USA,2615,113
2615,USA,113
USA,2616,113
2616,USA,113
USA,2617,113
2617,USA,113
USA,2618,113
2618,USA,113
USA,2619,113
2619,USA,113
USA,2620,113
2620,USA,113
USA,2621,113
2621,USA,113
USA,2622,113
2622,USA,113
USA,2623,113
2623,USA,113
USA,2624,113
2624,USA,113
USA,2625,113
2625,USA,113
USA,2626,113
2626,USA,113
USA,2627,113
2627,USA,113
USA,2628,113
2628,USA,113
USA,2629,113
2629,USA,113
USA,2630,113
2630,USA,113
USA,2631,113
2631,USA,113
USA,2632,113
2632,USA,113
USA,2633,113
2633,USA,113
USA,2634,113
2634,USA,113
USA,2635,113
2635,USA,113
USA,2636,113
2636,USA,113
USA,2637,113
2637,USA,113
USA,2638,113
2638,USA,113
USA,2639,113
2639,USA,113
USA,2640,113
2640,USA,113
USA,2641,113
2641,USA,113
USA,2642,113
2642,USA,113
USA,2643,113
2643,USA,113
USA,2644,113
2644,USA,113
USA,2645,113
2645,USA,113
USA,2646,113
2646,USA,113
USA,2647,113
2647,USA,113
USA,2648,113
2648,USA,113
USA,2649,113
2649,USA,113
USA,2650,113
2650,USA,113
USA,2651,113
2651,USA,113
USA,2652,113
2652,USA,113
USA,2653,113
2653,USA,113
USA,2654,113
2654,USA,113
USA,2655,113
2655,USA,113
USA,2656,113
2656,USA,113
USA,2657,113
2657,USA,113
USA,2658,113
2658,USA,113
USA,2659,113
2659,USA,113
USA,2660,113
2660,USA,113
USA,2661,113
2661,USA,113
USA,2662,113
