Region,Region,migrate
ANZ,,1
,EEU,101.99019513592752
EEU,,101.99019513592752
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,1
USA,,1
,CAN,1
CAN,,1
,WEU,1
WEU,,1
,JPK,1
JPK,,1
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,101.99019513592752
FSU,,101.99019513592752
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,2
CAN,,2
,WEU,2
WEU,,2
,JPK,1
JPK,,1
,ANZ,2
ANZ,,2
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,82.98795005781801
MDE,,82.98795005781801
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,1
CAN,,1
,WEU,1
WEU,,1
,JPK,1
JPK,,1
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,82.98795005781801
CAM,,82.98795005781801
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,1
CAN,,1
,WEU,1
WEU,,1
,JPK,1
JPK,,1
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,82.98795005781801
LAM,,82.98795005781801
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,2
CAN,,2
,WEU,2
WEU,,2
,JPK,2
JPK,,2
,ANZ,2
ANZ,,2
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,82.98795005781801
SAS,,82.98795005781801
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,2
CAN,,2
,WEU,2
WEU,,2
,JPK,2
JPK,,2
,ANZ,2
ANZ,,2
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,82.98795005781801
SEA,,82.98795005781801
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,2
CAN,,2
,WEU,2
WEU,,2
,JPK,2
JPK,,2
,ANZ,2
ANZ,,2
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,82.98795005781801
CHI,,82.98795005781801
